,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2254,3041353,0.242,4.537,0.931,1.783,6.484,0.0,0.821,2.462
2255,17014422,1.5739999999999998,1.749,1.312,2.855,0.234,1.83,1.914,1.508
2256,5113496,6.715,11.517999999999999,4.57,9.752,12.758000000000001,6.279,4.647,18.337
2257,8591538,3.347,3.102,0.563,3.4290000000000003,2.153,1.289,1.665,2.468
2258,25367628,3.159,0.398,2.399,2.6719999999999997,1.52,3.599,0.578,2.219
2259,3332816,8.168000000000001,5.6,5.156,12.192,2.75,8.113,2.0469999999999997,10.149
2260,20204625,0.5,0.281,0.133,0.519,1.486,1.1960000000000002,0.234,1.085
2261,1341089,1.445,9.561,1.516,2.454,11.517,6.66,1.171,13.576
2262,11141613,12.197000000000001,7.53,4.82,27.708,6.274,7.279,9.584999999999999,9.11
2263,6807441,1.304,4.42,0.0,4.283,2.654,3.468,0.32,2.6950000000000003
2264,6954778,2.38,4.5,0.972,4.754,6.396,3.515,1.367,8.865
2265,8763366,1.311,1.5939999999999999,0.313,2.359,2.419,0.727,0.672,1.9609999999999999
2266,1918683,6.394,5.14,2.757,7.91,6.976,4.853,2.298,10.318999999999999
2267,17922555,1.615,1.6949999999999998,1.531,2.601,5.604,3.198,1.359,2.9370000000000003
2268,12355679,2.2720000000000002,2.117,1.9300000000000002,1.874,4.87,4.211,2.524,5.939
2269,6708252,3.578,2.782,1.7650000000000001,3.047,1.669,1.2730000000000001,0.821,4.295
2270,33842844,2.598,2.0,0.57,3.702,1.294,0.359,0.0,2.1950000000000003
2271,16198418,0.6,2.364,1.3439999999999999,1.141,1.889,0.779,0.586,3.23
2272,4110734,3.089,4.623,3.51,4.657,4.015,3.1470000000000002,2.515,3.962
2273,33935867,2.7199999999999998,1.266,0.758,2.29,1.218,1.471,0.0,2.289
2274,26067636,8.527,13.936,3.438,17.119,13.370000000000001,6.773,3.617,20.922
2275,25081004,7.662,3.664,2.257,9.691,0.67,6.018,2.5860000000000003,6.039
2276,265891,7.03,16.34,2.6390000000000002,6.853,11.523,3.394,6.173,16.357
2277,6577108,3.8089999999999997,2.469,2.3209999999999997,6.171,2.081,1.6179999999999999,0.781,5.008
2278,28798236,0.182,1.7810000000000001,0.523,2.384,1.859,0.594,0.0,2.477
2279,10197031,0.0,5.75,0.258,1.665,8.579,1.2149999999999999,1.2349999999999999,10.298
2280,5736981,1.234,2.242,0.9219999999999999,0.843,1.907,1.2000000000000002,0.454,2.36
2281,10202862,0.0,0.562,0.0,0.942,0.288,0.0,0.0,0.305
2282,6465014,5.519,2.125,1.946,9.579,2.334,2.953,2.149,5.094
2283,32699320,1.726,0.0,0.0,1.687,0.328,0.812,0.477,1.141
2284,617066,8.17,8.913,7.062,14.009,9.708,7.526,9.495,12.541
2285,10640685,2.707,9.652000000000001,0.0,2.929,12.517,2.193,1.0710000000000002,15.864
2286,29449838,6.873,7.953,1.4689999999999999,9.595,8.056,6.893,2.4299999999999997,10.301
2287,1792785,9.02,4.487,2.492,17.012,1.842,6.164,2.274,9.977
2288,6198415,0.0,0.516,0.0,0.0,0.909,0.545,0.0,0.868
2289,1260100,4.38,4.43,2.901,9.063,4.497,9.116,1.8439999999999999,7.452
2290,4711636,1.44,3.867,0.773,7.128,5.247,5.2059999999999995,1.694,7.57
2291,29676959,0.375,0.617,0.922,0.0,1.406,2.0629999999999997,0.0,2.0709999999999997
2292,4857566,6.827999999999999,10.012,4.687,5.09,8.853,7.559,3.866,11.977
2293,143952,2.796,6.808,0.68,5.211,1.773,2.6550000000000002,3.2279999999999998,4.282
