,Action/Adventure,Comedy,Crime Fiction,Drama,Horror,Romance Film,Romantic comedy,Science Fiction,Short Film,Thriller
sentiment score,,0.0037094836174035046,,,-0.008912969906985943,0.011181994759365998,0.01662835624961568,,-0.008773008851219023,-0.012844643671964105
anger,0.0217274824700428,,0.03341961861077806,-0.018014145980690614,-0.014974479018824833,-0.010424267892908273,,-0.008241166834801632,,
anticipation,,0.0038040365876707153,-0.010515474877846915,-0.007324733905623566,,-0.003641717910082303,,0.00803715831837204,0.011505829922867155,
disgust,-0.011858647103109325,,0.00873192145445112,,0.015529298472146267,,-0.00587991695497546,0.005343431912477081,,
fear,0.01312805159088389,-0.012722177046158807,0.011086575623415008,-0.03774320367747364,0.017353661097275222,-0.0136197239174339,-0.04717141427329953,0.017624340044893994,,0.05588014947664799
joy,-0.015211646618477829,0.005516630012255311,-0.021812939568832415,0.038021774067380415,,0.01723365655585773,0.037501328732512385,-0.013439639213572342,0.01062432300439302,-0.05702675251504545
sadness,-0.012207275069421389,-0.006301044450866648,-0.011781351011668956,0.031817990453098945,,0.0038355689019167858,,-0.007836754421653627,-0.017357987971561878,0.021027293356407427
surprise,,,,-0.0270069273609505,,-0.004044960864631163,,,0.015232926686746319,0.01907467689282421
trust,0.005903618186088909,0.006115279889060295,,0.006167901570989077,-0.012011351098202089,0.004364456902529384,0.008235695976884854,,-0.010968024646857543,-0.010276092401158593
