date,joy,annoyance,realization,admiration,surprise,optimism,disappointment,sadness,fear,amusement,anger,approval,remorse,desire
1981,11.0,12.0,27.0,8.0,10.0,1.0,4.0,20.0,10.0,3.0,8.0,3.0,0.0,0.0
1982,10.0,6.0,32.0,12.0,5.0,1.0,10.0,22.0,8.0,3.0,4.0,3.0,1.0,0.0
1983,7.0,9.0,26.0,7.0,11.0,3.0,8.0,18.0,12.0,2.0,8.0,6.0,1.0,1.0
1984,9.0,14.0,20.0,7.0,8.0,1.0,8.0,6.0,9.0,1.0,10.0,5.0,2.0,1.0
1985,18.0,10.0,34.0,13.0,11.0,3.0,12.0,25.0,12.0,7.0,5.0,8.0,1.0,3.0
1986,5.0,12.0,53.0,11.0,8.0,6.0,10.0,17.0,9.0,4.0,10.0,8.0,0.0,7.0
1987,9.0,17.0,59.0,17.0,13.0,4.0,8.0,25.0,13.0,8.0,4.0,3.0,1.0,0.0
1988,16.0,16.0,46.0,10.0,10.0,6.0,11.0,26.0,17.0,9.0,8.0,4.0,2.0,3.0
1989,12.0,19.0,47.0,23.0,15.0,6.0,9.0,26.0,15.0,8.0,8.0,7.0,3.0,4.0
1990,5.0,12.0,58.0,15.0,11.0,5.0,8.0,18.0,21.0,10.0,6.0,9.0,0.0,3.0
1991,9.0,6.0,57.0,15.0,11.0,9.0,6.0,22.0,19.0,2.0,7.0,2.0,1.0,2.0
1992,11.0,11.0,34.0,20.0,8.0,2.0,7.0,20.0,20.0,3.0,6.0,4.0,2.0,0.0
1993,6.0,18.0,61.0,17.0,6.0,2.0,12.0,28.0,15.0,4.0,9.0,7.0,1.0,1.0
1994,15.0,28.0,55.0,19.0,14.0,6.0,13.0,35.0,16.0,4.0,11.0,6.0,1.0,4.0
1995,10.0,23.0,59.0,21.0,14.0,8.0,10.0,35.0,19.0,4.0,16.0,9.0,0.0,5.0
1996,12.0,12.0,53.0,22.0,13.0,8.0,11.0,32.0,23.0,12.0,15.0,9.0,0.0,1.0
1997,6.0,16.0,71.0,9.0,16.0,9.0,8.0,26.0,16.0,2.0,12.0,6.0,0.0,1.0
1998,4.0,10.0,51.0,17.0,11.0,3.0,7.0,14.0,14.0,3.0,11.0,5.0,0.0,0.0
1999,12.0,9.0,40.0,12.0,5.0,2.0,6.0,17.0,16.0,2.0,9.0,5.0,0.0,3.0
2000,4.0,10.0,48.0,14.0,9.0,5.0,8.0,12.0,17.0,3.0,13.0,4.0,1.0,0.0
2001,16.0,5.0,61.0,26.0,9.0,1.0,8.0,33.0,19.0,7.0,13.0,13.0,1.0,0.0
2002,10.0,22.0,57.0,11.0,16.0,6.0,9.0,15.0,15.0,7.0,14.0,8.0,3.0,3.0
2003,14.0,10.0,92.0,19.0,17.0,7.0,12.0,29.0,27.0,9.0,12.0,12.0,1.0,5.0
2004,23.0,15.0,80.0,16.0,15.0,7.0,15.0,35.0,30.0,5.0,10.0,7.0,0.0,5.0
2005,11.0,20.0,80.0,13.0,13.0,8.0,12.0,29.0,24.0,7.0,10.0,13.0,2.0,1.0
2006,16.0,19.0,107.0,22.0,20.0,13.0,25.0,32.0,28.0,11.0,15.0,12.0,2.0,3.0
2007,13.0,21.0,90.0,24.0,11.0,6.0,9.0,26.0,34.0,9.0,18.0,11.0,2.0,2.0
2008,13.0,20.0,127.0,25.0,22.0,5.0,21.0,53.0,38.0,8.0,27.0,16.0,0.0,6.0
2009,15.0,23.0,100.0,11.0,26.0,5.0,21.0,41.0,37.0,3.0,15.0,17.0,3.0,1.0
2010,54.0,65.0,394.0,83.0,65.0,43.0,74.0,179.0,125.0,19.0,64.0,40.0,7.0,17.0
2011,61.0,74.0,312.0,81.0,59.0,21.0,61.0,120.0,88.0,20.0,44.0,30.0,3.0,11.0
2012,22.0,37.0,180.0,44.0,38.0,25.0,31.0,76.0,48.0,6.0,17.0,23.0,2.0,6.0
2013,1.0,2.0,5.0,0.0,1.0,0.0,3.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
